|     Name      |     Usage     | Description |
| ------------- | ------------- | ------------|
| giveroleall | giveroleall | No description provided. |
| remove | remove | No description provided. |
| apod | apod | NASA Astronomy Picture of the Day |
| giverole | giverole | No description provided. |
| jail | jail [@member] | Image overlays for you discord profile pic |
| removerole | removerole | No description provided. |
| iss | iss | Where is ISS |
| announcement | announcement | No description provided. |
| removerolesfromuser | removerolesfromuser | No description provided. |
| lyrics | lyrics lyrics [song name] | Song lyrics command |
| announcement_all | announcement_all | No description provided. |
| play | play | No description provided. |
| hug | hug | No description provided. |
| recalculateranks | recalculateranks | No description provided. |
| verification | verification | No description provided. |
| say | say | No description provided. |
| resetallxp | resetallxp | No description provided. |
| maketicket | maketicket | No description provided. |
| help | help | No description provided. |
| _8ball | _8ball | No description provided. |
| glass | glass [@member] | Image overlays for you discord profile pic |
| closeticket | closeticket | No description provided. |
| contribute | contribute | No description provided. |
| todayschess | todayschess | No description provided. |
| comrade | comrade [@member] | Image overlays for you discord profile pic |
| i_wish | i_wish | No description provided. |
| wasted | wasted [@member] | Image overlays for you discord profile pic |
| roles | roles | No description provided. |
| changeprefix | changeprefix | No description provided. |
| deletetickets | deletetickets | No description provided. |
| nicknamereset | nicknamereset | No description provided. |
| ping | ping | No description provided. |
| hextorgb | hextorgb | No description provided. |
| passed | passed [@member] | Image overlays for you discord profile pic |
| prefix | prefix | No description provided. |
| userid | userid | No description provided. |
| pokidex | pokidex | Shows you the pokedex of the pokemon |
| triggered | triggered [@member] | Image overlays for you discord profile pic |
| panda | panda | No description provided. |
| yoda | yoda | No description provided. |
| vote | vote | No description provided. |
| koala | koala | No description provided. |
| translate | translate | No description provided. |
| Greyscale | Greyscale [@member] | Image overlays for you discord profile pic |
| RGBtoHex | RGBtoHex | No description provided. |
| bin | bin | No description provided. |
| blacklist | blacklist | No description provided. |
| clear | clear | No description provided. |
| DominantColour | DominantColour | No description provided. |
| sepia | sepia [@member] | Image overlays for you discord profile pic |
| export | export | No description provided. |
| hex | hex | No description provided. |
| timein | timein | No description provided. |
| banrandom | banrandom | No description provided. |
| pielb | pielb | No description provided. |
| catch_pie | catch_pie | No description provided. |
| weather | weather | No description provided. |
| Blurple | Blurple [@member] | Image overlays for you discord profile pic |
| oct | oct | No description provided. |
| maker | maker | No description provided. |
| Palette | Palette | No description provided. |
| link | link | No description provided. |
| Blurpleold | Blurpleold [@member] | Image overlays for you discord profile pic |
| dec | dec | No description provided. |
| artprompt | artprompt | No description provided. |
| wanted | wanted | Image overlays for you discord profile pic |
| server | server | No description provided. |
| pixelate | pixelate [@member] | Image overlays for you discord profile pic |
| styleprompt | styleprompt | No description provided. |
| bond | bond | No description provided. |
| easter_egg | easter_egg | No description provided. |
| nickname | nickname | No description provided. |
| showstyleprompts | showstyleprompts | No description provided. |
| suggest | suggest | No description provided. |
| echo | echo | No description provided. |
| ghost | ghost [@member] | Image overlays for you discord profile pic |
| bird | bird | No description provided. |
| trash | trash [@member] | Image overlays for you discord profile pic |
| serverinfo | serverinfo | No description provided. |
| activity | activity | No description provided. |
| huggle | huggle | No description provided. |
| pokemontext | pokemontext | No description provided. |
| broadcast | broadcast | No description provided. |
| ttie | ttie | No description provided. |
| fox | fox | No description provided. |
| info | info | No description provided. |
| set_announcment_channel | set_announcment_channel | No description provided. |
| bug | bug | No description provided. |
| if_they_could_read | if_they_could_read | No description provided. |
| tchallenge | tchallenge | No description provided. |
| freestuff | freestuff | No description provided. |
| coffee | coffee | No description provided. |
| logs | logs | No description provided. |
| pirate | pirate | No description provided. |
| command_dictionary | command_dictionary | No description provided. |
| msgserver | msgserver | No description provided. |
| welcome | welcome | No description provided. |
| getcolour | getcolour | No description provided. |
| maketruthfile | maketruthfile | No description provided. |
| add_autorole | add_autorole | Adds a role to autoroles |
| tea | tea | No description provided. |
| p | p | No description provided. |
| Uptime | Uptime | No description provided. |
| makedarefile | makedarefile | No description provided. |
| ghoastping | ghoastping | No description provided. |
| givexp | givexp | No description provided. |
| remove_autorole | remove_autorole | Removes a role from autoroles |
| tsurrender | tsurrender | No description provided. |
| resetxp | resetxp | No description provided. |
| reloadall | reloadall | No description provided. |
| pull | pull | No description provided. |
| dm_owners | dm_owners | No description provided. |
| botinfo | botinfo | No description provided. |
| list_autoroles | list_autoroles | Lists the autoroles |
| mctext | mctext | No description provided. |
| time | time | No description provided. |
| announcement_embed | announcement_embed | No description provided. |
| givexpall | givexpall | No description provided. |
| avatar | avatar | No description provided. |
| qrcode | qrcode | No description provided. |
| date | date | No description provided. |
| status | status | No description provided. |
| poll | poll | No description provided. |
| toggle_leveling | toggle_leveling | No description provided. |
| clearlog | clearlog | No description provided. |
| load | load | No description provided. |
| ftime | ftime | No description provided. |
| unload | unload | No description provided. |
| donation | donation | No description provided. |
| timezone | timezone | No description provided. |
| pressf | pressf | No description provided. |
| quickpoll | quickpoll | No description provided. |
| setcountchannel | setcountchannel | No description provided. |
| calc | calc | No description provided. |
| cat | cat | No description provided. |
| whosplaying | whosplaying | No description provided. |
| change_status | change_status | No description provided. |
| pressx | pressx | No description provided. |
| currentgames | currentgames | No description provided. |
| commandlookup | commandlookup | No description provided. |
| joke | joke | No description provided. |
| kick | kick | No description provided. |
| commandusage | commandusage | No description provided. |
| xp_wipe_onleave_toggle | xp_wipe_onleave_toggle | No description provided. |
| latex | latex | No description provided. |
| reload | reload | No description provided. |
| commandusagelist | commandusagelist | No description provided. |
| countingoff | countingoff | No description provided. |
| server_invite | server_invite | No description provided. |
| runcode | runcode runcode [language] [code] | Runs code |
| rand | rand | No description provided. |
| listxpignore | listxpignore | No description provided. |
| remind | remind | No description provided. |
| warn | warn | No description provided. |
| regex_clear | regex_clear | No description provided. |
| removereactions | removereactions | No description provided. |
| fullleaderboard | fullleaderboard | No description provided. |
| add_message_to_birthday | add_message_to_birthday | No description provided. |
| covid | covid | No description provided. |
| force_add_user | force_add_user | No description provided. |
| serverlist | serverlist | No description provided. |
| madetablerade | madetablerade | No description provided. |
| um_dad | um_dad | No description provided. |
| randomimg | randomimg | No description provided. |
| embed | embed | No description provided. |
| dog | dog | No description provided. |
| leaderboard | leaderboard | No description provided. |
| setallraid | setallraid | No description provided. |
| toggle_birthday | toggle_birthday | No description provided. |
| nyt_top | nyt_top | No description provided. |
| makeservertablebirthday | makeservertablebirthday | No description provided. |
| ttimeout | ttimeout | No description provided. |
| unblacklist | unblacklist | No description provided. |
| emojify | emojify | Converts text to emojis |
| nyt_search | nyt_search | No description provided. |
| dmreply | dmreply | No description provided. |
| headache | headache | No description provided. |
| dm | dm | No description provided. |
| qotdtest | qotdtest | No description provided. |
| nyt_random | nyt_random | No description provided. |
| toggle_raid_protections | toggle_raid_protections | No description provided. |
| rps | rps | No description provided. |
| setraidnumb | setraidnumb | No description provided. |
| setbirthday | setbirthday | No description provided. |
| lockdown | lockdown | No description provided. |
| set_birthday_channel | set_birthday_channel | No description provided. |
| ftocm | ftocm | No description provided. |
| cmtof | cmtof | No description provided. |
| slap | slap | No description provided. |
| mtokm | mtokm | No description provided. |
| slowmode | slowmode | No description provided. |
| summon | summon | No description provided. |
| invites | invites | No description provided. |
| bigleaderboard | bigleaderboard | No description provided. |
| im_blue | im_blue | No description provided. |
| kill | kill | No description provided. |
| kmtom | kmtom | No description provided. |
| mcping | mcping | No description provided. |
| join | join | No description provided. |
| mcskin | mcskin | No description provided. |
| leave | leave | No description provided. |
| timeout | timeout | No description provided. |
| ftom | ftom | No description provided. |
| coinflip | coinflip | No description provided. |
| setnick | setnick | No description provided. |
| screenshot | screenshot | No description provided. |
| dice | dice | No description provided. |
| mtof | mtof | No description provided. |
| volume | volume | No description provided. |
| pixelatethis | pixelatethis [@member] | Image overlays for you discord profile pic |
| mchead | mchead | No description provided. |
| now | now | No description provided. |
| yesorno | yesorno yesorno [question] | Makes a Yah or Nah poll |
| massban | massban | No description provided. |
| intocm | intocm | No description provided. |
| bored | bored | No description provided. |
| goodbye | goodbye | No description provided. |
| unban | unban | No description provided. |
| cmtoin | cmtoin | No description provided. |
| pause | pause | No description provided. |
| addxpignore | addxpignore | No description provided. |
| reverse | reverse | No description provided. |
| ftoc | ftoc | No description provided. |
| inviteslb | inviteslb | No description provided. |
| ascii | ascii | No description provided. |
| ctof | ctof | No description provided. |
| slantascii | slantascii | No description provided. |
| make_xp_wipe_onleave_toggle | make_xp_wipe_onleave_toggle | No description provided. |
| MoveChannel | MoveChannel | No description provided. |
| MoveMessage | MoveMessage | No description provided. |
| removexpignore | removexpignore | No description provided. |
| resume | resume | No description provided. |
| image | image | No description provided. |
| purgeuser | purgeuser | No description provided. |
| stop | stop | No description provided. |
| rank | rank | Shows your rank image |
| skip | skip | No description provided. |
| hack | hack | No description provided. |
| removeroleall | removeroleall | No description provided. |
| shuffle | shuffle | No description provided. |
| timepurgeuser | timepurgeuser | No description provided. |
| queue | queue | No description provided. |
| randomcard | randomcard | No description provided. |
| setLogChannel | setLogChannel | No description provided. |
| loop | loop | No description provided. |
